Athlete;Age;Year;Closing Ceremony Date;Gold Medals;Silver Medals;Bronze Medals
Michael Phelps;23;2008;08/24/2008;8;0;0
Michael Phelps;19;2004;08/29/2004;6;0;2
Michael Phelps;27;2012;08/12/2012;4;2;0
Natalie Coughlin;25;2008;08/24/2008;1;2;3
Aleksey Nemov;24;2000;10/01/2000;2;1;3
Alicia Coutts;24;2012;08/12/2012;1;3;1
Missy Franklin;17;2012;08/12/2012;4;0;1
Ryan Lochte;27;2012;08/12/2012;2;2;1
Allison Schmitt;22;2012;08/12/2012;3;1;1
Natalie Coughlin;21;2004;08/29/2004;2;2;1
Ian Thorpe;17;2000;10/01/2000;3;2;0
Dara Torres;33;2000;10/01/2000;2;0;3
Cindy Klassen;26;2006;02/26/2006;1;2;2
Nastia Liukin;18;2008;08/24/2008;1;3;1
Marit Bjørgen;29;2010;02/28/2010;3;1;1
Sun Yang;20;2012;08/12/2012;2;1;1
Kirsty Coventry;24;2008;08/24/2008;1;3;0
Libby Lenton-Trickett;23;2008;08/24/2008;2;1;1
Ryan Lochte;24;2008;08/24/2008;2;0;2
Inge de Bruijn;30;2004;08/29/2004;1;1;2
Petria Thomas;28;2004;08/29/2004;3;1;0
Ian Thorpe;21;2004;08/29/2004;2;1;1
Inge de Bruijn;27;2000;10/01/2000;3;1;0
Gary Hall Jr.;25;2000;10/01/2000;2;1;1
Michael Klim;23;2000;10/01/2000;2;2;0
Susie O'Neill;27;2000;10/01/2000;1;3;0
Jenny Thompson;27;2000;10/01/2000;3;0;1
Pieter van den Hoogenband;22;2000;10/01/2000;2;0;2
An Hyeon-Su;20;2006;02/26/2006;3;0;1
Aliya Mustafina;17;2012;08/12/2012;1;1;2
Shawn Johnson;16;2008;08/24/2008;1;3;0
Dmitry Sautin;26;2000;10/01/2000;1;1;2
Leontien Zijlaard-van Moorsel;30;2000;10/01/2000;3;1;0
Petter Northug Jr.;24;2010;02/28/2010;2;1;1
Ole Einar Bjørndalen;28;2002;02/24/2002;4;0;0
Janica Kostelic;20;2002;02/24/2002;3;1;0
Nathan Adrian;23;2012;08/12/2012;2;1;0
Yannick Agnel;20;2012;08/12/2012;2;1;0
Brittany Elmslie;18;2012;08/12/2012;1;2;0
Matt Grevers;27;2012;08/12/2012;2;1;0
Ryosuke Irie;22;2012;08/12/2012;0;2;1
Cullen Jones;28;2012;08/12/2012;1;2;0
Ranomi Kromowidjojo;21;2012;08/12/2012;2;1;0
Camille Muffat;22;2012;08/12/2012;1;1;1
Mel Schlanger;25;2012;08/12/2012;1;2;0
Emily Seebohm;20;2012;08/12/2012;1;2;0
Rebecca Soni;25;2012;08/12/2012;2;1;0
Satomi Suzuki;21;2012;08/12/2012;0;1;2
Dana Vollmer;24;2012;08/12/2012;3;0;0
Alain Bernard;25;2008;08/24/2008;1;1;1
László Cseh Jr.;22;2008;08/24/2008;0;3;0
Matt Grevers;23;2008;08/24/2008;2;1;0
Margaret Hoelzer;25;2008;08/24/2008;0;2;1
Katie Hoff;19;2008;08/24/2008;0;1;2
Leisel Jones;22;2008;08/24/2008;2;1;0
Kosuke Kitajima;25;2008;08/24/2008;2;0;1
Andrew Lauterstein;21;2008;08/24/2008;0;1;2
Jason Lezak;32;2008;08/24/2008;2;0;1
Pang Jiaying;23;2008;08/24/2008;0;1;2
Aaron Peirsol;25;2008;08/24/2008;2;1;0
Steph Rice;20;2008;08/24/2008;3;0;0
Jess Schipper;21;2008;08/24/2008;1;0;2
Rebecca Soni;21;2008;08/24/2008;1;2;0
Eamon Sullivan;22;2008;08/24/2008;0;2;1
Dara Torres;41;2008;08/24/2008;0;3;0
Amanda Beard;22;2004;08/29/2004;1;2;0
Antje Buschschulte;25;2004;08/29/2004;0;0;3
Kirsty Coventry;20;2004;08/29/2004;1;1;1
Ian Crocker;21;2004;08/29/2004;1;1;1
Grant Hackett;24;2004;08/29/2004;1;2;0
Brendan Hansen;22;2004;08/29/2004;1;1;1
Jodie Henry;20;2004;08/29/2004;3;0;0
Otylia Jedrzejczak;20;2004;08/29/2004;1;2;0
Leisel Jones;18;2004;08/29/2004;1;1;1
Kosuke Kitajima;21;2004;08/29/2004;2;0;1
Laure Manaudou;17;2004;08/29/2004;1;1;1
Aaron Peirsol;21;2004;08/29/2004;3;0;0
Kaitlin Sandeno;21;2004;08/29/2004;1;1;1
Roland Schoeman;24;2004;08/29/2004;1;1;1
Pieter van den Hoogenband;26;2004;08/29/2004;1;2;0
Therese Alshammar;23;2000;10/01/2000;0;2;1
Yana Klochkova;18;2000;10/01/2000;2;1;0
Lenny Krayzelburg;24;2000;10/01/2000;3;0;0
Massimiliano Rosolino;22;2000;10/01/2000;1;1;1
Petria Thomas;25;2000;10/01/2000;0;2;1
Matt Welsh;23;2000;10/01/2000;0;2;1
Lee Jeong-Su;20;2010;02/28/2010;2;1;0
Apolo Anton Ohno;27;2010;02/28/2010;0;1;2
Wang Meng;24;2010;02/28/2010;3;0;0
Jin Seon-Yu;17;2006;02/26/2006;3;0;0
Lee Ho-Seok;19;2006;02/26/2006;1;2;0
Apolo Anton Ohno;23;2006;02/26/2006;1;0;2
Wang Meng;20;2006;02/26/2006;1;1;1
Marc Gagnon;26;2002;02/24/2002;2;0;1
Yang Yang (A);25;2002;02/24/2002;2;1;0
Stephanie Beckert;21;2010;02/28/2010;1;2;0
Martina Sáblíková;22;2010;02/28/2010;2;0;1
Enrico Fabris;24;2006;02/26/2006;2;0;1
Chad Hedrick;28;2006;02/26/2006;1;1;1
Jochem Uytdehaage;25;2002;02/24/2002;2;1;0
Sabine Völker;28;2002;02/24/2002;0;2;1
Gregor Schlierenzauer;20;2010;02/28/2010;1;0;2
Lars Bystøl;27;2006;02/26/2006;1;0;2
Johnny Spillane;29;2010;02/28/2010;0;3;0
Felix Gottwald;30;2006;02/26/2006;2;1;0
Georg Hettich;27;2006;02/26/2006;1;1;1
Felix Gottwald;26;2002;02/24/2002;0;0;3
Samppa Lajunen;22;2002;02/24/2002;3;0;0
Aly Raisman;18;2012;08/12/2012;2;0;1
Kohei Uchimura;23;2012;08/12/2012;1;2;0
Zou Kai;24;2012;08/12/2012;2;0;1
Cheng Fei;20;2008;08/24/2008;1;0;2
Yang Wei;28;2008;08/24/2008;2;1;0
Yang Yilin;15;2008;08/24/2008;1;0;2
Zou Kai;20;2008;08/24/2008;3;0;0
Marian Dragulescu;23;2004;08/29/2004;0;1;2
Paul Hamm;21;2004;08/29/2004;1;2;0
Carly Patterson;16;2004;08/29/2004;1;2;0
Catalina Ponor;16;2004;08/29/2004;3;0;0
Simona Amânar;20;2000;10/01/2000;2;0;1
Svetlana Khorkina;21;2000;10/01/2000;1;2;0
Yekaterina Lobaznyuk;17;2000;10/01/2000;0;2;1
Yelena Zamolodchikova;17;2000;10/01/2000;2;1;0
Guo Shuang;26;2012;08/12/2012;0;2;1
Chris Hoy;32;2008;08/24/2008;3;0;0
Bradley Wiggins;24;2004;08/29/2004;1;1;1
Florian Rousseau;26;2000;10/01/2000;2;1;0
Justyna Kowalczyk;27;2010;02/28/2010;1;1;1
Johan Olsson;29;2010;02/28/2010;1;0;2
Stefania Belmondo;33;2002;02/24/2002;1;1;1
Yuliya Chepalova;25;2002;02/24/2002;1;1;1
Frode Estil;29;2002;02/24/2002;2;1;0
Bente Skari-Martinsen;29;2002;02/24/2002;1;1;1
Magdalena Neuner;23;2010;02/28/2010;2;1;0
Emil Hegle Svendsen;24;2010;02/28/2010;2;1;0
Albina Akhatova;29;2006;02/26/2006;1;0;2
Ole Einar Bjørndalen;32;2006;02/26/2006;0;2;1
Sven Fischer;34;2006;02/26/2006;2;0;1
Martina Glagow-Beck;26;2006;02/26/2006;0;3;0
Michael Greis;29;2006;02/26/2006;3;0;0
Kati Wilhelm;29;2006;02/26/2006;1;2;0
Kati Wilhelm;25;2002;02/24/2002;2;1;0
Yohan Blake;22;2012;08/12/2012;1;2;0
Usain Bolt;25;2012;08/12/2012;3;0;0
Allyson Felix;26;2012;08/12/2012;3;0;0
Shelly-Ann Fraser-Pryce;25;2012;08/12/2012;1;2;0
Carmelita Jeter;32;2012;08/12/2012;1;1;1
Usain Bolt;21;2008;08/24/2008;3;0;0
Veronica Campbell-Brown;22;2004;08/29/2004;2;0;1
Justin Gatlin;22;2004;08/29/2004;1;1;1
Bode Miller;32;2010;02/28/2010;1;1;1
Aksel Lund Svindal;27;2010;02/28/2010;1;1;1
Anja Pärson;24;2006;02/26/2006;1;0;2
Stephan Eberharter;32;2002;02/24/2002;1;1;1
Ding Ning;22;2012;08/12/2012;1;1;0
Feng Tian Wei;25;2012;08/12/2012;0;0;2
Li Xiaoxia;24;2012;08/12/2012;2;0;0
Dmitrij Ovtcharov;23;2012;08/12/2012;0;0;2
Wang Hao;28;2012;08/12/2012;1;1;0
Zhang Jike;24;2012;08/12/2012;2;0;0
Guo Yue;20;2008;08/24/2008;1;0;1
Ma Lin;28;2008;08/24/2008;2;0;0
Wang Hao;24;2008;08/24/2008;1;1;0
Wang Liqin;30;2008;08/24/2008;1;0;1
Wang Nan;29;2008;08/24/2008;1;1;0
Zhang Yining;26;2008;08/24/2008;2;0;0
Zhang Yining;22;2004;08/29/2004;2;0;0
Kong Linghui;24;2000;10/01/2000;1;1;0
Li Ju;24;2000;10/01/2000;1;1;0
Liu Guoliang;24;2000;10/01/2000;0;1;1
Wang Nan;21;2000;10/01/2000;2;0;0
Viktoriya Azarenko;22;2012;08/12/2012;1;0;1
Mike Bryan;34;2012;08/12/2012;1;0;1
Andy Murray;25;2012;08/12/2012;1;1;0
Serena Williams;30;2012;08/12/2012;2;0;0
Fernando González;24;2004;08/29/2004;1;0;1
Nicolás Massú;26;2004;08/29/2004;2;0;0
Venus Williams;20;2000;10/01/2000;2;0;0
Ona Carbonell;22;2012;08/12/2012;0;1;1
Andrea Fuentes;29;2012;08/12/2012;0;1;1
Huang Xuechen;22;2012;08/12/2012;0;1;1
Nataliya Ishchenko;26;2012;08/12/2012;2;0;0
Liu Ou;25;2012;08/12/2012;0;1;1
Svetlana Romashina;22;2012;08/12/2012;2;0;0
Anastasiya Davydova;25;2008;08/24/2008;2;0;0
Andrea Fuentes;25;2008;08/24/2008;0;2;0
Gemma Mengual;31;2008;08/24/2008;0;2;0
Anastasiya Yermakova;25;2008;08/24/2008;2;0;0
Alison Bartosik;21;2004;08/29/2004;0;0;2
Anastasiya Davydova;21;2004;08/29/2004;2;0;0
Anna Kozlova;31;2004;08/29/2004;0;0;2
Miya Tachibana;29;2004;08/29/2004;0;2;0
Miho Takeda;27;2004;08/29/2004;0;2;0
Anastasiya Yermakova;21;2004;08/29/2004;2;0;0
Olga Brusnikina;21;2000;10/01/2000;2;0;0
Mariya Kiselyova;25;2000;10/01/2000;2;0;0
Miya Tachibana;25;2000;10/01/2000;0;2;0
Miho Takeda;24;2000;10/01/2000;0;2;0
Becky Adlington;23;2012;08/12/2012;0;0;2
Bronte Barratt;23;2012;08/12/2012;0;1;1
Elizabeth Beisel;19;2012;08/12/2012;0;1;1
Mireia Belmonte;21;2012;08/12/2012;0;2;0
Ricky Berens;24;2012;08/12/2012;1;1;0
Aleksandra Gerasimenya;26;2012;08/12/2012;0;2;0
Brendan Hansen;30;2012;08/12/2012;1;0;1
Jessica Hardy;25;2012;08/12/2012;1;0;1
Chad le Clos;20;2012;08/12/2012;1;1;0
Clément Lefert;24;2012;08/12/2012;1;1;0
Amaury Leveaux;26;2012;08/12/2012;1;1;0
James Magnussen;21;2012;08/12/2012;0;1;1
Takeshi Matsuda;28;2012;08/12/2012;0;1;1
Oussama Mellouli;28;2012;08/12/2012;1;0;1
Park Tae-Hwan;22;2012;08/12/2012;0;2;0
Christian Sprenger;26;2012;08/12/2012;0;1;1
Jeremy Stravius;24;2012;08/12/2012;1;1;0
Aya Terakawa;27;2012;08/12/2012;0;0;2
Nick Thoman;26;2012;08/12/2012;1;1;0
Marleen Veldhuis;33;2012;08/12/2012;0;1;1
Ye Shiwen;16;2012;08/12/2012;2;0;0
Becky Adlington;19;2008;08/24/2008;2;0;0
Leith Brodie;22;2008;08/24/2008;0;0;2
Cate Campbell;16;2008;08/24/2008;0;0;2
César Cielo Filho;21;2008;08/24/2008;1;0;1
Hugues Duboscq;26;2008;08/24/2008;0;0;2
Felicity Galvez;23;2008;08/24/2008;2;0;0
Grant Hackett;28;2008;08/24/2008;0;1;1
Kara Lynn Joyce;22;2008;08/24/2008;0;2;0
Amaury Leveaux;22;2008;08/24/2008;0;2;0
Christine Magnuson;22;2008;08/24/2008;0;2;0
Patrick Murphy;24;2008;08/24/2008;0;0;2
Park Tae-Hwan;18;2008;08/24/2008;1;1;0
Shayne Reese;25;2008;08/24/2008;1;0;1
Brenton Rickard;24;2008;08/24/2008;0;2;0
Mel Schlanger;21;2008;08/24/2008;1;0;1
Julia Smit;20;2008;08/24/2008;0;1;1
Britta Steffen;24;2008;08/24/2008;2;0;0
Hayden Stoeckel;24;2008;08/24/2008;0;1;1
Matt Targett;22;2008;08/24/2008;0;1;1
Peter Vanderkaay;24;2008;08/24/2008;1;0;1
Arkady Vyachanin;24;2008;08/24/2008;0;0;2
Garrett Weber-Gale;23;2008;08/24/2008;2;0;0
Lindsay Benko;27;2004;08/29/2004;1;1;0
Gary Hall Jr.;29;2004;08/29/2004;1;0;1
Brooke Hanson;26;2004;08/29/2004;1;1;0
Kara Lynn Joyce;18;2004;08/29/2004;0;2;0
Klete Keller;22;2004;08/29/2004;1;0;1
Yana Klochkova;22;2004;08/29/2004;2;0;0
Rachel Komisarz;27;2004;08/29/2004;1;1;0
Libby Lenton-Trickett;19;2004;08/29/2004;1;0;1
Jason Lezak;28;2004;08/29/2004;1;0;1
Ryan Lochte;20;2004;08/29/2004;1;1;0
Alice Mills;18;2004;08/29/2004;2;0;0
Tomomi Morita;19;2004;08/29/2004;0;0;2
Markus Rogan;22;2004;08/29/2004;0;2;0
Jenny Thompson;31;2004;08/29/2004;0;2;0
Franziska van Almsick;26;2004;08/29/2004;0;0;2
Neil Walker;28;2004;08/29/2004;1;0;1
Amanda Weir;18;2004;08/29/2004;0;2;0
Takashi Yamamoto;26;2004;08/29/2004;0;1;1
Brooke Bennett;20;2000;10/01/2000;2;0;0
Beatrice Coada-Caslaru;25;2000;10/01/2000;0;1;1
Josh Davis;28;2000;10/01/2000;0;2;0
Tom Dolan;25;2000;10/01/2000;1;1;0
Anthony Ervin;19;2000;10/01/2000;1;1;0
Domenico Fioravanti;23;2000;10/01/2000;2;0;0
Grant Hackett;20;2000;10/01/2000;2;0;0
Geoff Huegill;21;2000;10/01/2000;0;1;1
Leisel Jones;15;2000;10/01/2000;0;2;0
Klete Keller;18;2000;10/01/2000;0;1;1
Jason Lezak;24;2000;10/01/2000;1;1;0
Diana Mocanu;16;2000;10/01/2000;2;0;0
Martina Moravcová;24;2000;10/01/2000;0;2;0
Ed Moses;20;2000;10/01/2000;1;1;0
Diana Munz;18;2000;10/01/2000;1;1;0
Mai Nakamura;21;2000;10/01/2000;0;1;1
Todd Pearson;22;2000;10/01/2000;2;0;0
Adam Pine;24;2000;10/01/2000;1;1;0
Claudia Poll;27;2000;10/01/2000;0;0;2
Megan Quann-Jendrick;16;2000;10/01/2000;2;0;0
Giaan Rooney;17;2000;10/01/2000;0;2;0
Courtney Shealy;22;2000;10/01/2000;2;0;0
Ashley Tappin;25;2000;10/01/2000;2;0;0
Stev Theloke;22;2000;10/01/2000;0;0;2
Amy Van Dyken;27;2000;10/01/2000;2;0;0
Neil Walker;24;2000;10/01/2000;1;1;0
J. R. Celski;19;2010;02/28/2010;0;0;2
Charles Hamelin;25;2010;02/28/2010;2;0;0
Lee Ho-Seok;23;2010;02/28/2010;0;2;0
Park Seung-Hui;17;2010;02/28/2010;0;0;2
Katherine Reutter;21;2010;02/28/2010;0;1;1
Seong Si-Baek;22;2010;02/28/2010;0;2;0
Marianne St-Gelais;19;2010;02/28/2010;0;2;0
François-Louis Tremblay;29;2010;02/28/2010;1;0;1
Zhou Yang;18;2010;02/28/2010;2;0;0
Choi Eun-Gyeong;21;2006;02/26/2006;1;1;0
Anouk Leblanc-Boucher;21;2006;02/26/2006;0;1;1
François-Louis Tremblay;25;2006;02/26/2006;0;2;0
Choi Eun-Gyeong;17;2002;02/24/2002;1;1;0
Go Gi-Hyeon;15;2002;02/24/2002;1;1;0
Jonathan Guilmette;23;2002;02/24/2002;1;1;0
Li Jiajun;26;2002;02/24/2002;0;1;1
Apolo Anton Ohno;19;2002;02/24/2002;1;1;0
Evgeniya Radanova;24;2002;02/24/2002;0;1;1
Mathieu Turcotte;25;2002;02/24/2002;1;0;1
Wang Chunlu;23;2002;02/24/2002;0;1;1
Yang Yang (S);24;2002;02/24/2002;0;1;1
Shani Davis;27;2010;02/28/2010;1;1;0
Kristina Groves;33;2010;02/28/2010;0;1;1
Chad Hedrick;32;2010;02/28/2010;0;1;1
Sven Kramer;23;2010;02/28/2010;1;0;1
Lee Seung-Hun;21;2010;02/28/2010;1;1;0
Mo Tae-Beom;21;2010;02/28/2010;1;1;0
Ivan Skobrev;27;2010;02/28/2010;0;1;1
Mark Tuitert;29;2010;02/28/2010;1;0;1
Joey Cheek;26;2006;02/26/2006;1;1;0
Shani Davis;23;2006;02/26/2006;1;1;0
Anni Friesinger-Postma;29;2006;02/26/2006;1;0;1
Kristina Groves;29;2006;02/26/2006;0;2;0
Clara Hughes;33;2006;02/26/2006;1;1;0
Sven Kramer;19;2006;02/26/2006;0;1;1
Claudia Pechstein;33;2006;02/26/2006;1;1;0
Carl Verheijen;30;2006;02/26/2006;0;0;2
Erben Wennemars;30;2006;02/26/2006;0;0;2
Ireen Wüst;19;2006;02/26/2006;1;0;1
Derek Parra;31;2002;02/24/2002;1;1;0
Claudia Pechstein;29;2002;02/24/2002;2;0;0
Jennifer Rodriguez;25;2002;02/24/2002;0;0;2
Simon Ammann;28;2010;02/28/2010;2;0;0
Adam Malysz;32;2010;02/28/2010;0;2;0
Matti Hautamäki;24;2006;02/26/2006;0;2;0
Andreas Kofler;21;2006;02/26/2006;1;1;0
Roar Ljøkelsøy;29;2006;02/26/2006;0;0;2
Thomas Morgenstern;19;2006;02/26/2006;2;0;0
Simon Ammann;20;2002;02/24/2002;2;0;0
Sven Hannawald;27;2002;02/24/2002;1;1;0
Matti Hautamäki;20;2002;02/24/2002;0;1;1
Adam Malysz;24;2002;02/24/2002;0;1;1
Niccolò Campriani;24;2012;08/12/2012;1;1;0
Jin Jong-O;32;2012;08/12/2012;2;0;0
Olena Kostevych;27;2012;08/12/2012;0;0;2
Jin Jong-O;28;2008;08/24/2008;1;1;0
Katerina Kurková-Emmons;24;2008;08/24/2008;1;1;0
Lyubov Galkina;31;2004;08/29/2004;1;1;0
Mariya Grozdeva;32;2004;08/29/2004;1;0;1
Lee Bo-Na;23;2004;08/29/2004;0;1;1
Mikhail Nestruyev;35;2004;08/29/2004;1;1;0
Igor Basinsky;37;2000;10/01/2000;0;1;1
Tao Luna;26;2000;10/01/2000;1;1;0
Kim Crow;26;2012;08/12/2012;0;1;1
Georgeta Damian-Andrunache;32;2008;08/24/2008;1;0;1
Viorica Susanu;32;2008;08/24/2008;1;0;1
Georgeta Damian-Andrunache;28;2004;08/29/2004;2;0;0
Viorica Susanu;28;2004;08/29/2004;2;0;0
Georgeta Damian-Andrunache;24;2000;10/01/2000;2;0;0
Doina Ignat;31;2000;10/01/2000;2;0;0
Pieta van Dishoeck;28;2000;10/01/2000;0;2;0
Eeke van Nes;31;2000;10/01/2000;0;2;0
Bill Demong;29;2010;02/28/2010;1;1;0
Bernhard Gruber;27;2010;02/28/2010;1;0;1
Magnus Moan;22;2006;02/26/2006;0;1;1
Ronny Ackermann;24;2002;02/24/2002;0;2;0
Jaakko Tallus;20;2002;02/24/2002;1;1;0
Denis Ablyazin;19;2012;08/12/2012;0;1;1
Chen Yibing;27;2012;08/12/2012;1;1;0
Gabby Douglas;16;2012;08/12/2012;2;0;0
Feng Zhe;24;2012;08/12/2012;2;0;0
Sandra Izbasa;22;2012;08/12/2012;1;0;1
Viktoriya Komova;17;2012;08/12/2012;0;2;0
McKayla Maroney;16;2012;08/12/2012;1;1;0
Marcel Nguyen;24;2012;08/12/2012;0;2;0
Mariya Paseka;17;2012;08/12/2012;0;1;1
Catalina Ponor;24;2012;08/12/2012;0;1;1
Louis Smith;23;2012;08/12/2012;0;1;1
Max Whitlock;19;2012;08/12/2012;0;0;2
Chen Yibing;23;2008;08/24/2008;2;0;0
Anton Golotsutskov;23;2008;08/24/2008;0;0;2
He Kexin;16;2008;08/24/2008;2;0;0
Jonathan Horton;22;2008;08/24/2008;0;1;1
Sandra Izbasa;18;2008;08/24/2008;1;0;1
Li Xiaopeng;27;2008;08/24/2008;2;0;0
Kohei Uchimura;19;2008;08/24/2008;0;2;0
Xiao Qin;23;2008;08/24/2008;2;0;0
Alexandra Eremia;17;2004;08/29/2004;1;0;1
Annia Hatch;26;2004;08/29/2004;0;2;0
Terin Humphrey;18;2004;08/29/2004;0;2;0
Takehiro Kashima;24;2004;08/29/2004;1;0;1
Svetlana Khorkina;25;2004;08/29/2004;0;1;1
Courtney Kupets;18;2004;08/29/2004;0;1;1
Anna Pavlova;16;2004;08/29/2004;0;0;2
Monica Rosu;17;2004;08/29/2004;2;0;0
Dana Sofronie;16;2004;08/29/2004;1;1;0
Hiroyuki Tomita;23;2004;08/29/2004;1;1;0
Marius Urzica;28;2004;08/29/2004;0;1;1
Isao Yoneda;26;2004;08/29/2004;1;0;1
Yordan Yovchev;31;2004;08/29/2004;0;1;1
Oleksandr Beresh;22;2000;10/01/2000;0;1;1
Aleksey Bondarenko;22;2000;10/01/2000;0;1;1
Lee Ju-Hyeong;27;2000;10/01/2000;0;1;1
Li Xiaopeng;19;2000;10/01/2000;2;0;0
Liu Xuan;21;2000;10/01/2000;1;0;1
Maria Olaru;18;2000;10/01/2000;1;1;0
Yelena Produnova;20;2000;10/01/2000;0;1;1
Andreea Raducan;16;2000;10/01/2000;1;1;0
Yang Wei;20;2000;10/01/2000;1;1;0
Yordan Yovchev;27;2000;10/01/2000;0;0;2
Elisa Di Francisca;29;2012;08/12/2012;2;0;0
Arianna Errigo;24;2012;08/12/2012;1;1;0
Diego Occhiuzzi;31;2012;08/12/2012;0;1;1
Sun Yujie;19;2012;08/12/2012;1;0;1
Valentina Vezzali;38;2012;08/12/2012;1;0;1
Stefano Carozzo;29;2008;08/24/2008;0;0;2
Margherita Granbassi;28;2008;08/24/2008;0;0;2
Sada Jacobson;25;2008;08/24/2008;0;1;1
Fabrice Jeannet;27;2008;08/24/2008;1;1;0
Nicolas Lopez;27;2008;08/24/2008;1;1;0
Matteo Tagliariol;25;2008;08/24/2008;1;0;1
Valentina Vezzali;34;2008;08/24/2008;1;0;1
Becca Ward;18;2008;08/24/2008;0;0;2
Mariel Zagunis;23;2008;08/24/2008;1;0;1
Andrea Cassarà;20;2004;08/29/2004;1;0;1
Laura Flessel-Colovic;32;2004;08/29/2004;0;1;1
Aldo Montano;25;2004;08/29/2004;1;1;0
Maureen Nisima;23;2004;08/29/2004;0;0;2
Salvatore Sanzo;28;2004;08/29/2004;1;1;0
Mathieu Gourdain;26;2000;10/01/2000;0;2;0
Gianna Hablützel-Bürki;30;2000;10/01/2000;0;2;0
Rita König;23;2000;10/01/2000;0;1;1
Wiradech Kothny;21;2000;10/01/2000;0;0;2
Hugues Obry;27;2000;10/01/2000;0;2;0
Giovanna Trillini;30;2000;10/01/2000;1;0;1
Valentina Vezzali;26;2000;10/01/2000;2;0;0
Sandra Auffarth;25;2012;08/12/2012;1;0;1
Laura Bechtolsheimer;27;2012;08/12/2012;1;0;1
Adelinde Cornelissen;33;2012;08/12/2012;0;1;1
Charlotte Dujardin;27;2012;08/12/2012;2;0;0
Michael Jung;29;2012;08/12/2012;2;0;0
Gerco Schröder;34;2012;08/12/2012;0;2;0
Tina Cook;37;2008;08/24/2008;0;0;2
Heike Kemmer;46;2008;08/24/2008;1;0;1
Eric Lamaze;40;2008;08/24/2008;1;1;0
Beezie Madden;44;2008;08/24/2008;1;0;1
Hinrich Romeike;45;2008;08/24/2008;2;0;0
Anky van Grunsven;40;2008;08/24/2008;1;1;0
Isabell Werth;39;2008;08/24/2008;1;1;0
Beatriz Ferrer-Salat;38;2004;08/29/2004;0;1;1
Pippa Funnell;35;2004;08/29/2004;0;1;1
Chris Kappler;37;2004;08/29/2004;1;1;0
Marco Kutscher;29;2004;08/29/2004;0;0;2
Leslie Law;39;2004;08/29/2004;1;1;0
Ulla Salzgeber;46;2004;08/29/2004;1;1;0
Kim Severson;30;2004;08/29/2004;0;1;1
Andrew Hoy;41;2000;10/01/2000;1;1;0
David O'Connor;38;2000;10/01/2000;1;0;1
Ulla Salzgeber;42;2000;10/01/2000;1;0;1
Anky van Grunsven;32;2000;10/01/2000;1;1;0
Isabell Werth;31;2000;10/01/2000;1;1;0
David Boudia;23;2012;08/12/2012;1;0;1
Chen Ruolin;19;2012;08/12/2012;2;0;0
He Zi;21;2012;08/12/2012;1;1;0
Qin Kai;26;2012;08/12/2012;1;1;0
Wu Minxia;26;2012;08/12/2012;2;0;0
Ilya Zakharov;21;2012;08/12/2012;1;1;0
Chen Ruolin;15;2008;08/24/2008;2;0;0
Gleb Galperin;25;2008;08/24/2008;0;0;2
Guo Jingjing;26;2008;08/24/2008;2;0;0
Yuliya Pakhalina;30;2008;08/24/2008;0;2;0
Qin Kai;22;2008;08/24/2008;1;0;1
Wang Xin;16;2008;08/24/2008;1;0;1
Wu Minxia;22;2008;08/24/2008;1;0;1
Guo Jingjing;22;2004;08/29/2004;2;0;0
Mathew Helm;23;2004;08/29/2004;0;1;1
Lao Lishi;16;2004;08/29/2004;1;1;0
Chantelle Michell-Newbery;27;2004;08/29/2004;1;0;1
Robert Newbery;25;2004;08/29/2004;0;0;2
Yuliya Pakhalina;26;2004;08/29/2004;0;1;1
Tian Liang;24;2004;08/29/2004;1;0;1
Wu Minxia;18;2004;08/29/2004;1;1;0
Fu Mingxia;22;2000;10/01/2000;1;1;0
Guo Jingjing;18;2000;10/01/2000;0;2;0
Hu Jia;17;2000;10/01/2000;0;2;0
Li Na;16;2000;10/01/2000;1;1;0
Anne Montminy;25;2000;10/01/2000;0;1;1
Tian Liang;21;2000;10/01/2000;1;1;0
Xiong Ni;26;2000;10/01/2000;2;0;0
Grégory Baugé;27;2012;08/12/2012;0;2;0
Ed Clancy;27;2012;08/12/2012;1;0;1
Sarah Hammer;28;2012;08/12/2012;0;2;0
Chris Hoy;36;2012;08/12/2012;2;0;0
Jason Kenny;24;2012;08/12/2012;2;0;0
Maximilian Levy;25;2012;08/12/2012;0;1;1
Anna Meares;28;2012;08/12/2012;1;0;1
Vicki Pendleton;31;2012;08/12/2012;1;1;0
Laura Trott;20;2012;08/12/2012;2;0;0
Olga Zabelinskaya;32;2012;08/12/2012;0;0;2
Mickaël Bourgain;28;2008;08/24/2008;0;1;1
Fabian Cancellara;27;2008;08/24/2008;1;1;0
Jason Kenny;20;2008;08/24/2008;1;1;0
Joan Llaneras;39;2008;08/24/2008;1;1;0
Hayden Roulston;27;2008;08/24/2008;0;1;1
Bradley Wiggins;28;2008;08/24/2008;2;0;0
Ryan Bayley;22;2004;08/29/2004;2;0;0
Graeme Brown;25;2004;08/29/2004;2;0;0
Sergi Escobar;29;2004;08/29/2004;0;0;2
Rob Hayles;31;2004;08/29/2004;0;1;1
Brad McGee;28;2004;08/29/2004;1;1;0
Anna Meares;20;2004;08/29/2004;1;0;1
Stefan Nimke;26;2004;08/29/2004;1;0;1
Olga Slyusareva;35;2004;08/29/2004;1;0;1
Arnaud Tournant;26;2004;08/29/2004;0;1;1
René Wolff;26;2004;08/29/2004;1;0;1
