Athlete;Age;Year;Closing Ceremony Date;Gold Medals;Silver Medals;Bronze Medals
Abhinav Bindra;25;2008;08/24/2008;1;0;0
Christine Brinker-Wenzel;27;2008;08/24/2008;0;0;1
Tore Brovold;38;2008;08/24/2008;0;1;0
Chiara Cainero;30;2008;08/24/2008;1;0;0
Chen Ying;30;2008;08/24/2008;1;0;0
Corey Cogdell;21;2008;08/24/2008;0;0;1
Eglis Yaima Cruz;28;2008;08/24/2008;0;0;1
Francesco D'Aniello;39;2008;08/24/2008;0;1;0
Rajmond Debevec;45;2008;08/24/2008;0;0;1
Munkhbayar Dorjsuren;39;2008;08/24/2008;0;0;1
Du Li;26;2008;08/24/2008;1;0;0
Glenn Eller;26;2008;08/24/2008;1;0;0
Matt Emmons;27;2008;08/24/2008;0;1;0
Lyubov Galkina;35;2008;08/24/2008;0;1;0
Guo Wenjun;24;2008;08/24/2008;1;0;0
Henri Häkkinen;28;2008;08/24/2008;0;0;1
Vincent Hancock;19;2008;08/24/2008;1;0;0
Hu Binyuan;30;2008;08/24/2008;0;0;1
Vladimir Isakov;38;2008;08/24/2008;0;0;1
David Kostelecký;33;2008;08/24/2008;1;0;0
Satu Mäkelä-Nummela;37;2008;08/24/2008;1;0;0
Otryadyn Gündegmaa;30;2008;08/24/2008;0;1;0
Nataliya Paderina;32;2008;08/24/2008;0;1;0
Pang Wei;22;2008;08/24/2008;1;0;0
Snježana Pejcic;26;2008;08/24/2008;0;0;1
Giovanni Pellielo;38;2008;08/24/2008;0;1;0
Oleksandr Petriv;34;2008;08/24/2008;1;0;0
Warren Potent;46;2008;08/24/2008;0;0;1
Qiu Jian;33;2008;08/24/2008;1;0;0
Christian Reitz;21;2008;08/24/2008;0;0;1
Kim Rhode;29;2008;08/24/2008;0;1;0
Nino Salukvadze;39;2008;08/24/2008;0;0;1
Ralf Schumann;46;2008;08/24/2008;0;1;0
Zuzana Štefeceková;24;2008;08/24/2008;0;1;0
Yuriy Sukhorukov;40;2008;08/24/2008;0;1;0
Tan Zongliang;36;2008;08/24/2008;0;1;0
Anthony Terras;23;2008;08/24/2008;0;0;1
Jason Turner;33;2008;08/24/2008;0;0;1
Zhu Qinan;23;2008;08/24/2008;0;1;0
Ahmed Al-Maktoum;40;2004;08/29/2004;1;0;0
Sergey Alifirenko;45;2004;08/29/2004;0;0;1
Aleksey Alipov;29;2004;08/29/2004;1;0;0
Michael Anti;40;2004;08/29/2004;0;1;0
Irad? Asumova;46;2004;08/29/2004;0;0;1
Suzy Balogh;31;2004;08/29/2004;1;0;0
Andrea Benelli;44;2004;08/29/2004;1;0;0
Aleksandr Blinov;22;2004;08/29/2004;0;1;0
Du Li;22;2004;08/29/2004;1;0;0
Matt Emmons;23;2004;08/29/2004;1;0;0
Gao E;41;2004;08/29/2004;0;0;1
Jozef Gönci;30;2004;08/29/2004;0;0;1
Lenka Hyková-Marušková;19;2004;08/29/2004;0;1;0
Diána Igaly;39;2004;08/29/2004;1;0;0
Vladimir Isakov;34;2004;08/29/2004;0;0;1
Jia Zhanbo;30;2004;08/29/2004;1;0;0
Jin Jong-O;24;2004;08/29/2004;0;1;0
Marko Kemppainen;28;2004;08/29/2004;0;1;0
Kim Jong-Su;27;2004;08/29/2004;0;0;1
Olena Kostevych;19;2004;08/29/2004;1;0;0
Katerina Kurková-Emmons;20;2004;08/29/2004;0;0;1
Manfred Kurzer;34;2004;08/29/2004;1;0;0
Li Jie;31;2004;08/29/2004;0;1;0
Christian Lusch;23;2004;08/29/2004;0;1;0
Dmitry Lykin;30;2004;08/29/2004;0;0;1
Sergey Martynov;36;2004;08/29/2004;0;0;1
Zemfira Meft?kh?tddinova;41;2004;08/29/2004;0;0;1
Giovanni Pellielo;34;2004;08/29/2004;0;1;0
Christian Planer;29;2004;08/29/2004;0;0;1
Sergey Polyakov;36;2004;08/29/2004;0;1;0
María Quintanal;34;2004;08/29/2004;0;1;0
Rajyavardhan Rathore;34;2004;08/29/2004;0;1;0
Kim Rhode;25;2004;08/29/2004;1;0;0
Juan Miguel Rodríguez;37;2004;08/29/2004;0;0;1
Ralf Schumann;42;2004;08/29/2004;1;0;0
Jasna Šekaric;38;2004;08/29/2004;0;1;0
Valentina Turisini;35;2004;08/29/2004;0;1;0
Adam Vella;33;2004;08/29/2004;0;0;1
Wang Chengyi;21;2004;08/29/2004;0;0;1
Wang Yifu;43;2004;08/29/2004;1;0;0
Wang Zheng;25;2004;08/29/2004;0;0;1
Wei Ning;22;2004;08/29/2004;0;1;0
Zhu Qinan;19;2004;08/29/2004;1;0;0
Fehaid Al-Deehani;33;2000;10/01/2000;0;0;1
Yevgeny Aleynikov;33;2000;10/01/2000;0;0;1
Sergey Alifirenko;41;2000;10/01/2000;1;0;0
